                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2178,                 1.6832,                0.82999,                0.14913,                0.41882,                0.13709,                0.08717,                 1.0991,                    inf,                0.81964,             0.00040598,             0.00040598,             0.00040598
                      2,                 1.2555,                0.74949,                0.81851,                0.72531,                0.51631,                0.52787,                   0.28,                 1.3273,                 1.9823,                0.82464,             0.00081451,             0.00081451,             0.00081451
                      3,                 1.2258,                0.71464,                 0.8146,                0.50201,                0.40815,                 0.3836,                0.22873,                 1.0703,                    nan,                0.81144,              0.0012148,              0.0012148,              0.0012148
                      4,                 1.1852,                0.67104,                0.81041,                0.72886,                0.66314,                0.68247,                0.41181,                 1.1114,                0.65381,                0.81055,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.1234,                 0.5997,                 0.8076,                0.69405,                0.64581,                0.65804,                0.39921,                 1.1933,                0.64955,                0.82785,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.1307,                0.59274,                0.80815,                0.78638,                0.64981,                0.75241,                  0.449,                 1.1053,                 0.5877,                0.81643,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.0962,                0.55689,                0.80103,                0.86168,                0.63859,                0.69119,                0.41589,                 1.0923,                0.56762,                0.81178,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.0794,                 0.5615,                0.80172,                0.86529,                0.61499,                0.72606,                0.42642,                  1.044,                0.53073,                0.81277,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.0153,                0.51995,                0.79952,                0.76687,                0.64253,                0.69015,                0.43306,                 1.0311,                0.54688,                0.80886,               0.001151,               0.001151,               0.001151
                     10,                 1.0544,                0.53255,                0.80008,                0.89171,                 0.6522,                0.72275,                0.44047,                 1.0749,                0.52925,                0.81348,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.0443,                0.52998,                0.79994,                0.84208,                0.72524,                0.74752,                0.50391,                0.94275,                0.49009,                0.80189,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.0118,                0.49078,                0.79699,                0.83995,                0.65415,                0.77574,                0.48056,                0.96638,                0.48493,                0.80596,              0.0011139,              0.0011139,              0.0011139
                     13,                0.97382,                0.48739,                0.79429,                0.80064,                0.68444,                0.75702,                0.48754,                0.93717,                0.47741,                0.80815,              0.0011015,              0.0011015,              0.0011015
                     14,                0.98072,                0.48966,                0.79406,                0.77754,                0.66218,                0.72521,                0.45697,                  0.933,                0.47121,                0.80482,              0.0010891,              0.0010891,              0.0010891
                     15,                0.94725,                0.46851,                0.79227,                0.85561,                0.70605,                0.74857,                 0.4823,                0.95394,                0.52709,                 0.8016,              0.0010768,              0.0010768,              0.0010768
                     16,                0.96493,                0.47207,                0.79431,                0.90024,                0.71075,                0.78462,                0.51456,                0.88513,                0.45697,                0.80171,              0.0010644,              0.0010644,              0.0010644
                     17,                0.94005,                0.46575,                0.78999,                0.83815,                0.68732,                 0.7435,                0.48239,                0.90858,                0.50509,                0.79493,               0.001052,               0.001052,               0.001052
                     18,                0.96507,                0.48417,                0.79038,                 0.7491,                0.67609,                0.72529,                0.47578,                0.97124,                0.55542,                0.80611,              0.0010396,              0.0010396,              0.0010396
                     19,                0.94131,                0.46836,                0.79528,                0.71051,                 0.6343,                 0.6695,                0.41782,                 1.0346,                0.51378,                  0.818,              0.0010273,              0.0010273,              0.0010273
                     20,                0.92924,                0.44991,                0.79037,                0.90783,                0.61777,                0.74246,                0.47212,                 0.9011,                0.45557,                0.80188,              0.0010149,              0.0010149,              0.0010149
                     21,                0.93397,                0.45181,                  0.791,                0.90923,                0.68239,                0.77786,                0.53662,                0.87389,                0.42617,                0.80004,              0.0010025,              0.0010025,              0.0010025
                     22,                 0.9272,                0.44143,                0.79018,                0.84674,                0.74613,                0.78313,                0.52331,                0.86875,                0.44119,                0.80154,             0.00099013,             0.00099013,             0.00099013
                     23,                 0.8748,                0.43294,                0.78693,                0.94652,                0.67148,                0.78464,                0.53254,                0.84784,                0.42275,                0.79594,             0.00097775,             0.00097775,             0.00097775
                     24,                0.93414,                0.44875,                0.78747,                0.84465,                 0.7323,                0.79847,                0.50567,                0.91449,                0.44453,                0.80161,             0.00096537,             0.00096537,             0.00096537
                     25,                 0.9136,                0.43666,                0.78943,                0.88736,                0.72194,                0.79693,                0.53156,                0.86064,                0.42465,                0.79713,               0.000953,               0.000953,               0.000953
                     26,                0.88623,                0.42461,                0.78977,                0.90653,                  0.741,                0.80104,                0.55003,                0.82438,                0.41791,                0.79585,             0.00094062,             0.00094062,             0.00094062
                     27,                0.88476,                 0.4287,                0.78658,                0.94954,                0.72274,                0.79214,                0.52795,                0.87023,                0.41518,                0.79865,             0.00092825,             0.00092825,             0.00092825
                     28,                0.85148,                0.41528,                0.78697,                 0.8599,                0.71942,                0.77759,                0.52453,                0.85932,                0.42225,                 0.7995,             0.00091588,             0.00091588,             0.00091588
                     29,                0.90406,                0.44027,                0.78836,                0.89677,                0.71116,                0.79277,                0.54181,                0.84981,                0.43453,                 0.7943,              0.0009035,              0.0009035,              0.0009035
                     30,                0.86106,                0.41634,                0.78695,                0.84506,                0.71438,                 0.7891,                0.52487,                0.84049,                0.40879,                0.79542,             0.00089112,             0.00089112,             0.00089112
                     31,                0.88202,                0.42028,                0.78513,                0.79897,                0.75315,                0.80153,                0.53318,                0.82167,                 0.4199,                0.79541,             0.00087875,             0.00087875,             0.00087875
                     32,                0.85837,                0.40741,                0.78387,                0.90844,                0.73223,                0.79738,                0.54134,                0.88034,                0.43203,                0.79597,             0.00086637,             0.00086637,             0.00086637
                     33,                0.88197,                0.42201,                0.78773,                 0.8694,                0.75875,                0.80994,                0.52463,                0.86495,                0.44568,                 0.7971,               0.000854,               0.000854,               0.000854
                     34,                0.83511,                0.40315,                0.78737,                0.92942,                  0.751,                0.83829,                0.57667,                0.79942,                0.40237,                0.79188,             0.00084162,             0.00084162,             0.00084162
                     35,                0.83849,                0.39804,                  0.784,                0.87557,                0.72776,                0.79587,                0.55132,                0.82289,                0.39431,                0.79523,             0.00082925,             0.00082925,             0.00082925
                     36,                0.84324,                0.39804,                0.78348,                0.91297,                0.73128,                0.79875,                0.54513,                0.83576,                0.40127,                0.79542,             0.00081688,             0.00081688,             0.00081688
                     37,                0.81848,                0.38931,                0.78459,                0.91275,                0.73578,                0.80351,                 0.5372,                0.89664,                0.41231,                0.79894,              0.0008045,              0.0008045,              0.0008045
